书名,作者,状态,种类,总字数,总点击,总推荐,书评分,评价人数,作者等级,作品数,总创作字数,总创作天数,作品荣誉,本月票数,打赏数
全职高手,蝴蝶蓝,完本,游戏,359.92,2437.37,2056.82,9.3,9795,    白金 ,6,1461.02万,3544,217,523,19
牧神记,宅猪,连载,玄幻,266.33,1831.91,2056.25,9.1,2407,    白金 ,7,2072.61万,3018,355,3804,13
赘婿,愤怒的香蕉,连载,历史,369.04,1934.13,1693.51,9.2,5145,    大神 ,2,598.69万,1668,250,198,2
异常生物见闻录,远瞳,完本,科幻,172.7,1197.27,1457.79,9.4,2320,    大神 ,3,1491.54万,3240,93,110,1
莽荒纪,我吃西红柿,完本,仙侠,744.75,10359.58,1392.21,9,8026,    白金 ,9,2603.36万,4200,326,74,0
江山美人志,瑞根,完本,玄幻,2019.35,6520.26,1341.62,9,119,    白金 ,6,1144.11万,5037,77,0,0
遮天,辰东,完本,仙侠,91.49,1799.57,1269.35,9.1,8727,    白金 ,6,2443.54万,4245,326,325,2
儒道至圣,永恒之火,连载,玄幻,184.08,516.47,1258.59,9.2,3440,    大神 ,1,714.39万,1479,248,1066,7
完美世界,辰东,完本,玄幻,221.41,1095.32,1220.48,9.2,8782,    白金 ,6,2443.54万,4245,335,369,1
斗破苍穹,天蚕土豆,完本,玄幻,284.97,1282.38,1113.39,8.8,12763,    Lv.5 ,3,1418.46万,2962,326,724,1
随波逐流之一代军师,随波逐流,完本,历史,540.3,880.34,932.71,9.3,91,    Lv.4 ,2,370.51万,487,103,1,0
亵渎,烟雨江南,完本,奇幻,360.15,781.08,914.23,9.2,323,    Lv.4 ,4,409.89万,698,319,1,0
光明纪元,血红,完本,玄幻,204.25,493.66,891.32,9.3,3304,    白金 ,12,3143.95万,4042,326,2,0
重生完美时代,公子不歌,连载,都市,368.58,760.37,886.49,8.8,944,    Lv.5 ,1,549.73万,1073,155,295,1
我是仙凡,百里玺,连载,仙侠,420.43,1128.84,833.73,8.6,367,    大神 ,6,1447.44万,2959,40,89,0
求魔,耳根,完本,仙侠,496.03,3325.52,804.97,9.2,5249,    白金 ,7,2221.20万,3291,326,37,0
锦衣夜行,月关,完本,历史,334.1,9496.7,773.37,9.3,5890,    Lv.5 ,7,2034.71万,3062,326,1,0
恶魔法则,跳舞,完本,玄幻,551.29,1546.58,764.43,9.1,512,    白金 ,9,1707.30万,3357,320,9,0
极品家丁,禹岩,完本,历史,339.19,523.97,759.11,9.2,831,    Lv.5 ,1,320.06万,731,316,48,1
星辰变,我吃西红柿,完本,仙侠,477.04,8535.44,751.2,9.1,770,    白金 ,9,2603.36万,4200,320,194,0
神墓,辰东,完本,玄幻,486.66,2946.62,731.12,9.2,781,    白金 ,6,2443.54万,4245,135,34,1
极道天魔,滚开,连载,仙侠,83.12,529.05,704.36,9,1238,    大神 ,6,1552.61万,2431,93,26,1
最终进化,卷土,连载,科幻,657.34,3050.18,673.03,9.3,3657,    Lv.5 ,4,1570.66万,2719,248,9,0
斗罗大陆,唐家三少,完本,玄幻,280.38,5022.83,672.57,9,1173,    白金 ,19,3995.09万,5039,319,1344,0
武道宗师,爱潜水的乌贼,完本,玄幻,525.76,15212.4,672.21,9,1252,    白金 ,6,1523.31万,2350,157,32,1
醉枕江山,月关,完本,历史,263.53,2535.74,622.18,9.3,4705,    Lv.5 ,7,2034.71万,3062,325,0,0
天醒之路,蝴蝶蓝,连载,玄幻,146.22,2945.11,577.87,9.3,1877,    白金 ,6,1461.02万,3544,155,18,1
神级英雄,大烟缸,完本,游戏,298.96,6518.77,573.51,9.2,1464,    大神 ,4,1036.56万,2334,92,4,0
大道争锋,误道者,完本,仙侠,299.6,5325.47,572.8,9.2,1556,    Lv.5 ,1,752.28万,2528,126,87,3
重生之最强剑神,天运老猫,连载,游戏,243.85,3430.78,561.92,8.8,430,    Lv.5 ,1,574.71万,1400,92,432,2
尘骨,林如渊,连载,玄幻,251.38,283.7,559.27,9,2992,    Lv.5 ,1,122.34万,338,146,23,0
超级怪兽工厂,匣中藏剑,连载,都市,632.32,6387.93,553.95,8.9,632,    大神 ,2,389.05万,1180,92,128,0
冰火魔厨,唐家三少,完本,奇幻,562.38,694.55,549.66,9,260,    白金 ,19,3995.09万,5039,290,48,0
佛本是道,梦入神机,完本,仙侠,523.34,669.27,547.55,9,151,    Lv.5 ,3,592.45万,2022,288,4,0
庆余年,猫腻,完本,历史,417.52,6236.07,535.04,9.2,1016,    白金 ,6,1688.03万,3737,319,103,1
傲剑天下,龙的天下,完本,武侠,192.19,1415.93,529.18,8.4,9,    Lv.1 ,3,149.91万,218,38,0,0
天启之门,跳舞,连载,都市,367.67,3852.92,529.03,9.2,668,    白金 ,9,1707.30万,3357,124,51,3
校花的贴身高手,鱼人二代,连载,都市,220.93,473.87,526.25,8.8,1644,    白金 ,6,3231.23万,4149,93,1155,0
伏天氏,净无痕,连载,玄幻,389.44,1982.98,514.38,9.1,1237,    白金 ,2,925.30万,1511,179,18552,7
猛龙过江,骷髅精灵,连载,游戏,535.01,2483.94,510.03,8.9,37,    白金 ,11,2264.70万,4522,168,2,0
生肖守护神,唐家三少,完本,都市,303.79,2688.39,502.43,9.1,230,    白金 ,19,3995.09万,5039,272,12,1
剑逆苍穹,EK巧克力,完本,玄幻,259.67,3564.56,499.53,9.2,591,    大神 ,11,1610.26万,2295,92,3,0
隐杀,愤怒的香蕉,完本,都市,238.88,550.9,499.02,9,127,    大神 ,2,598.69万,1668,91,2,0
庶子风流,上山打老虎额,完本,历史,98.41,813.38,493.2,9.1,176,    大神 ,8,2377.33万,2859,91,50,0
猎国,跳舞,完本,玄幻,179.04,410.91,485.19,8.9,3355,    白金 ,9,1707.30万,3357,248,2,0
希灵帝国,远瞳,连载,科幻,86.62,173.54,476.95,9.3,1823,    大神 ,3,1491.54万,3240,39,37,0
仙葫,流浪的蛤蟆,完本,仙侠,304.27,2960.89,467.79,8.9,2148,    大神 ,11,1244.37万,2637,215,3,0
韩娱之天王,呓语痴人,完本,都市,222.11,577.18,456.99,9.2,1421,    Lv.5 ,3,1115.40万,2084,71,2,0
纨绔邪皇,开荒,完本,玄幻,182.43,669.12,451.04,9.2,136,    大神 ,7,2173.91万,3746,92,0,0
悍戚,庚新,连载,历史,494.75,2151.93,447.48,9.2,927,    大神 ,12,1777.99万,2986,91,7,0
高手寂寞2,兰帝魅晨,完本,游戏,215.54,1472.76,447.46,9.3,699,    Lv.4 ,10,1502.56万,2728,92,1,0
超级电脑,疯狂冰咆哮,完本,都市,263.73,738.53,445.58,8.6,137,    Lv.3 ,4,574.35万,996,91,2,0
回到过去变成猫,陈词懒调,完本,都市,184.82,2572.14,445.51,9.3,1831,    大神 ,4,717.37万,1564,93,9,1
篡清,天使奥斯卡,完本,历史,377.61,886.91,444.98,9,190,    Lv.4 ,4,788.94万,1303,91,0,0
胜者为王,林海听涛,完本,体育,374.82,3412.18,434.5,9.3,2508,    白金 ,9,3107.13万,4225,319,1,0
暴风法神,余云飞,完本,奇幻,234.86,464.92,432.75,8.9,228,    Lv.5 ,4,889.94万,1647,91,26,0
重生之大涅磐,奥尔良烤鲟鱼堡,连载,都市,273.07,2254.63,422.54,8.9,2549,    大神 ,4,993.04万,2177,91,6,0
许仙志,说梦者,完本,仙侠,298.22,5001.18,421.45,9,2092,    Lv.5 ,2,644.31万,1867,91,40,0
超越轮回,任怨,完本,科幻,319.47,2158.85,415.83,8.7,72,    Lv.5 ,5,1123.09万,3328,40,0,0
首席御医,银河九天,完本,都市,475.68,1199.64,413.17,9.1,2052,    Lv.5 ,2,509.29万,1052,91,45,0
寂灭天骄,高楼大厦,完本,科幻,336.36,831.03,410.61,8.9,901,    白金 ,9,1927.89万,3361,154,2,0
相声大师,唐四方,完本,都市,237.97,1726.63,401.64,9.2,226,    Lv.5 ,2,294.95万,775,70,6,0
大盗贼,泛舟填词,完本,游戏,64.53,1322.23,401.37,9.1,399,    Lv.5 ,2,524.83万,1346,92,81,0
异世界的美食家,李鸿天,完本,玄幻,384.25,1258.86,398.56,8.6,495,    Lv.5 ,3,935.04万,1096,93,91,0
大亨传说,黯然销魂,完本,都市,280.01,2535.23,396.92,7.6,8,    Lv.3 ,13,1879.03万,3469,105,0,0
梦开始于篮球,郁郁林中树,连载,体育,140.42,1973.45,391.87,2,0,    Lv.1 ,1,141.74万,234,164,0,0
恶魔囚笼,颓废龙,连载,游戏,650.93,4240.6,384.2,9.1,463,    Lv.5 ,4,1598.68万,3552,92,58,1
重燃,奥尔良烤鲟鱼堡,连载,都市,292.07,305.83,383.88,8.7,715,    大神 ,4,993.04万,2177,38,296,1
神纹道,发飙的蜗牛,连载,玄幻,143.89,1064.6,382.02,7.7,9,    Lv.5 ,9,1434.39万,2338,216,1,0
全球论剑,网络黑侠,连载,游戏,255.41,1039.49,379.06,9,1108,    Lv.3 ,9,1439.15万,2195,91,4,0
猫痕伤,旭之瑾瑜,连载,短篇,202.63,5730.19,378.41,7.6,8,    Lv.1 ,2,113.06万,407,36,0,0
谜案局中局,小草胖胖,完本,短篇,410.67,2296.12,370.48,7.3,4,    Lv.1 ,15,938.34万,1834,36,0,0
末法王座,庄毕凡,完本,玄幻,450.73,304.49,367.73,8.9,558,    Lv.5 ,2,990.70万,1792,91,0,0
天道图书馆,横扫天涯,连载,玄幻,477.32,3099.56,367.07,8.6,2047,    大神 ,6,1418.90万,2567,355,2091,6
谍变,黯然销魂,完本,都市,411.86,832.52,358.84,7.3,3,    Lv.3 ,13,1879.03万,3469,37,0,0
大王饶命,会说话的肘子,连载,都市,489.55,568.79,353.17,8.9,3668,    大神 ,3,591.16万,982,344,435,2
大国重工,齐橙,连载,都市,108.77,196.71,351.2,8.9,213,    大神 ,6,1182.61万,2182,91,81,2
史上第一混乱,张小花,完本,都市,392.41,2534.89,348.33,9.1,464,    大神 ,6,610.47万,1654,91,9,0
超级浮空城,诸生浮屠,连载,玄幻,209.19,2275.69,344.14,8.8,435,    Lv.5 ,5,523.69万,2261,65,22,0
孺子帝,冰临神下,完本,历史,285.89,3074.68,339.34,9.2,322,    Lv.5 ,6,1277.30万,2098,92,4,1
战天,苍天白鹤,完本,玄幻,54.14,250.8,339.21,9,1865,    Lv.5 ,10,3280.77万,3929,154,5,0
仙逆,耳根,完本,仙侠,378.65,2250.72,334.27,9,7683,    白金 ,7,2221.20万,3291,326,131,0
汉乡,孑与2,连载,历史,456.1,435.75,328.29,8.4,10918,    白金 ,4,1403.85万,2275,344,1797,11
冠军传奇,林海听涛,完本,体育,455.29,2018.22,324.77,8.9,1410,    白金 ,9,3107.13万,4225,153,2,0
邪风曲,血红,完本,仙侠,669.01,1702.95,322.86,9.2,259,    白金 ,12,3143.95万,4042,320,0,0
重生之神级学霸,志鸟村,完本,都市,199.59,1761.83,320.24,9.2,681,    大神 ,6,1361.98万,3113,133,18,0
巫神纪,血红,完本,玄幻,245.54,426,317.37,9.3,477,    白金 ,12,3143.95万,4042,310,15,0
惊悚乐园,三天两觉,完本,游戏,77.34,128.05,316.18,9.3,3755,    大神 ,4,793.93万,2014,93,149,2
步步生莲,月关,完本,历史,350.1,1995.08,305.65,9,5043,    Lv.5 ,7,2034.71万,3062,326,0,0
星战风暴,骷髅精灵,连载,科幻,251.54,513.17,298.85,9.1,2585,    白金 ,11,2264.70万,4522,326,8,0
凡人修仙之仙界篇,忘语,连载,仙侠,444.89,1704.13,298.68,9.1,3929,    白金 ,5,1841.03万,3667,212,2298,41
我们是冠军,林海听涛,完本,体育,263.44,1886.83,297.97,9.1,94,    白金 ,9,3107.13万,4225,105,0,0
神秘之旅,滚开,完本,奇幻,385.79,1225.4,289.79,9.1,1152,    大神 ,6,1552.61万,2431,92,12,0
逍遥小镇长,全金属弹壳,完本,都市,191.63,1688.67,288.81,9.3,215,    Lv.5 ,5,1421.04万,1439,92,6,0
未来天王,陈词懒调,连载,科幻,617.83,576.92,288.16,9,1178,    大神 ,4,717.37万,1564,92,171,5
九鼎记,我吃西红柿,完本,武侠,654.37,590.77,284.19,8.8,2958,    白金 ,9,2603.36万,4200,319,37,0
大唐仙医,秃笔居士,连载,仙侠,353.73,3529.63,282.15,8.6,274,    Lv.4 ,1,47.80万,164,40,0,0
我在末世有套房,晨星LL,完本,科幻,240.8,319.14,281.73,9.1,417,    Lv.5 ,3,676.89万,1298,72,78,0
斗罗大陆II绝世唐门,唐家三少,连载,玄幻,255.91,1611.93,277.91,9.2,7388,    白金 ,19,3995.09万,5039,320,416,0
会穿越的外交官,昨夜大雨,完本,科幻,163.46,1919.06,277.87,9.1,254,    Lv.5 ,3,744.54万,1537,92,16,0
银狐,孑与2,连载,历史,417.34,1685.36,275.98,9.2,766,    白金 ,4,1403.85万,2275,186,48,0
天择,卷土,连载,玄幻,894.32,822.82,274.2,9.2,987,    Lv.5 ,4,1570.66万,2719,122,9,0
老衲要还俗,一梦黄粱,完本,都市,698.26,358.7,270.8,8.9,1403,    Lv.5 ,3,659.49万,940,93,140,0
卡徒,方想,完本,科幻,334.95,401.52,270.14,9,360,    Lv.5 ,3,636.55万,1993,211,11,1
冒牌大英雄,七十二编,完本,科幻,443.36,536.06,269.53,9.1,3204,    白金 ,3,830.67万,1440,325,20,1
惊门,徐公子胜治,完本,都市,409.09,263.85,267.49,9.3,1574,    大神 ,8,1583.01万,3325,92,0,0
母皇,流浪的蛤蟆,完本,科幻,328.25,1981.62,261.81,8.9,16,    大神 ,11,1244.37万,2637,91,0,0
长生界,辰东,完本,玄幻,357.18,570.11,258.95,9,1274,    白金 ,6,2443.54万,4245,93,17,1
超级卡牌系统,黑乎乎的老妖,完本,游戏,831.8,3527.78,258.77,8.8,346,    Lv.5 ,6,880.62万,1472,91,15,1
易鼎,荆柯守,完本,仙侠,684.33,282.82,257.75,9,1174,    大神 ,9,1874.79万,3436,121,2,0
掠天记,黑山老鬼,完本,仙侠,314.14,216.14,256.34,9.2,347,    Lv.5 ,3,965.61万,1480,93,59,0
寒门枭士,高月,连载,历史,202.05,514.54,255.64,8.7,236,    大神 ,12,2640.73万,4108,90,7,0
紫府仙缘,百里玺,完本,仙侠,392.85,6729.01,249.15,8.8,1020,    大神 ,6,1447.44万,2959,91,13,0
黄金渔场,全金属弹壳,完本,都市,675.67,2541.29,246.98,9.3,584,    Lv.5 ,5,1421.04万,1439,247,28,1
电影的世界,有梦之人,连载,科幻,488.57,247.42,246.39,8.7,503,    Lv.5 ,1,197.75万,799,38,23,2
六迹之万宗朝天录,萧潜,连载,仙侠,615.61,511.78,246.32,8.4,11,    Lv.5 ,4,486.65万,840,37,0,0
大宇宙时代,zhttty,连载,科幻,475.51,1399.6,245.95,9.1,1592,    白金 ,6,1173.30万,1863,91,2,0
江山物语,林浩公子,连载,历史,263.47,3548.07,243.37,7.3,4,    Lv.1 ,1,109.80万,287,36,0,0
史上最强店主,南极烈日,完本,科幻,367.86,1870.74,241.87,8.8,471,    Lv.5 ,2,548.41万,994,92,50,0
神级剑魂系统,夜南听风,完本,二次元,190.56,1729.04,241.01,8.6,499,    Lv.5 ,6,554.91万,905,124,7,0
武极天下,蚕茧里的牛,完本,玄幻,253.97,320.19,240.6,9.2,2082,    白金 ,4,1391.01万,2791,326,81,0
神煌,开荒,完本,玄幻,205.29,377.32,240.41,9.2,1188,    大神 ,7,2173.91万,3746,92,2,0
太古神王,净无痕,连载,玄幻,152.22,2926.24,233.6,8.8,336,    白金 ,2,925.30万,1511,92,147,0
异界兽医,油炸包子,完本,玄幻,259.89,3059.56,232.47,8.8,64,    Lv.3 ,6,820.14万,1340,194,2,0
唐朝好男人,多一半,连载,历史,477.48,3431.13,228.39,9.1,81,    Lv.1 ,1,228.69万,402,105,6,0
请叫我威廉三世,天空之承,完本,历史,291.33,2444.39,226.87,9.1,45,    Lv.4 ,6,1151.41万,2985,39,0,0
纯阳武神,十步行,连载,玄幻,327.76,964.49,226.12,9.2,354,    Lv.5 ,7,1225.35万,2271,92,11,0
六迹之梦魇宫,忘语,连载,仙侠,1712.74,950.78,220.53,9,90,    白金 ,5,1841.03万,3667,36,0,0
重启九六,三年不起,连载,都市,161.14,1555.28,217.38,8.7,158,    Lv.5 ,2,329.72万,655,38,3,0
星际之亡灵帝国,苍天白鹤,完本,科幻,688.72,559.49,217.18,9,128,    Lv.5 ,10,3280.77万,3929,253,3,0
垃圾邮件里的金手指,丰言,完本,短篇,531.99,754.47,217.02,7.2,3,    Lv.1 ,2,199.83万,1063,36,0,0
三界血歌,血红,完本,仙侠,956.15,583.37,216.6,9.3,882,    白金 ,12,3143.95万,4042,155,3,0
贞观大闲人,贼眉鼠眼,完本,历史,411.75,1497.58,206.18,9.1,476,    大神 ,5,982.09万,2226,91,21,0
武装风暴,骷髅精灵,连载,玄幻,714.9,306.16,205.36,8.9,1840,    白金 ,11,2264.70万,4522,123,8,0
独步天途,玄雨,连载,玄幻,515.67,458.32,201.19,8.4,57,    Lv.5 ,7,1273.89万,1938,89,5,0
重生之贼行天下,发飙的蜗牛,完本,游戏,395.6,145.41,200.97,9,4711,    Lv.5 ,9,1434.39万,2338,217,11,1
盛唐崛起,庚新,连载,历史,441.59,793.97,199.76,9.2,131,    大神 ,12,1777.99万,2986,91,3,0
武神,苍天白鹤,完本,玄幻,142.3,2050.53,198.17,8.8,4453,    Lv.5 ,10,3280.77万,3929,326,8,0
暗黑破坏神之毁灭,第七重奏01,连载,游戏,55.58,1256.68,197.04,9.3,1568,    Lv.5 ,1,1768.62万,3435,71,20,3
诛仙,萧鼎,完本,仙侠,634.35,275.37,196.31,8.9,208,    Lv.5 ,4,373.40万,662,39,37,0
神藏,打眼,连载,都市,120.32,1059.59,193.52,9.1,336,    白金 ,5,1634.94万,2892,93,809,1
医统江山,石章鱼,连载,历史,347.33,465.08,190.75,9.3,734,    白金 ,4,868.49万,4193,326,5,0
神话版三国,坟土荒草,连载,历史,583.86,983.56,189.54,9.3,1348,    Lv.5 ,1,929.46万,2185,126,346,10
佣兵的战争,如水意,完本,军事,380.71,497.08,189.51,9.3,628,    大神 ,2,976.69万,1895,72,79,0
王牌进化,卷土,连载,科幻,437.07,698.38,184.61,9.2,472,    Lv.5 ,4,1570.66万,2719,132,16,0
超品相师,九灯和善,连载,都市,151.4,1247.86,184.3,9,921,    大神 ,2,1231.26万,1860,326,93,0
文艺时代,睡觉会变白,完本,都市,201.31,922.02,183.82,9.3,803,    Lv.5 ,2,485.84万,1392,91,3,0
全职法师,乱,连载,玄幻,631.13,287.85,182.97,9,1530,    白金 ,2,994.20万,1915,93,3667,10
带着仓库到大明,迪巴拉爵士,完本,历史,233.59,534.37,182.11,8.7,751,    大神 ,2,707.50万,878,225,279,0
太上章,徐公子胜治,完本,玄幻,142.48,391.4,180.06,9.3,541,    大神 ,8,1583.01万,3325,92,2,0
空速星痕,唐家三少,完本,都市,65.03,2219.89,179.84,8.9,108,    白金 ,19,3995.09万,5039,197,8,0
原始战记,陈词懒调,连载,玄幻,335.39,131.56,179.82,9.4,964,    大神 ,4,717.37万,1564,154,12,0
永恒剑主,滚开,连载,玄幻,188.5,489.01,179.64,9.2,451,    大神 ,6,1552.61万,2431,91,1,0
天珠变,唐家三少,完本,玄幻,261.16,1845.7,176.34,8.9,5123,    白金 ,19,3995.09万,5039,326,74,0
寻找走丢的舰娘,海底熔岩,完本,二次元,445.27,1613.17,175.49,9.1,669,    Lv.5 ,2,352.09万,710,90,7,0
神魔,血红,完本,玄幻,332.06,46.18,171.83,8.5,10,    白金 ,12,3143.95万,4042,103,0,0
极品小农场,名窑,完本,都市,125.25,1135.39,171.02,9.2,320,    Lv.5 ,4,1619.82万,2324,91,13,0
无敌唤灵,苍天白鹤,连载,玄幻,242.55,926.71,171,9.2,508,    Lv.5 ,10,3280.77万,3929,155,6,0
裁决,七十二编,连载,玄幻,457.91,273.89,169.87,9.1,2783,    白金 ,3,830.67万,1440,186,9,3
天王,跳舞,完本,都市,952.02,340.89,167.91,9,235,    白金 ,9,1707.30万,3357,151,0,0
调教大宋,苍山月,完本,历史,349.31,896.8,167.21,9.1,750,    Lv.5 ,2,392.24万,756,72,62,0
弑天刃,小刀锋利,完本,玄幻,169.1,1732.55,166.41,9.2,204,    白金 ,9,2395.91万,3336,326,33,0
善良的死神,唐家三少,完本,奇幻,341.78,1280.08,165.42,8.8,60,    白金 ,19,3995.09万,5039,38,25,0
起点,左右仙人掌,完本,游戏,378.07,1192.9,165.35,8.5,19,    Lv.1 ,1,83.98万,283,37,0,0
网游——屠龙巫师,宛若新衣,完本,游戏,440.68,481.9,164.98,8.6,12,    Lv.4 ,6,633.69万,1335,38,0,0
异界全职业大师,庄毕凡,完本,游戏,339.19,236.32,164.97,8.9,1318,    Lv.5 ,2,990.70万,1792,90,4,0
恶汉,庚新,完本,历史,391.72,1864.13,164.71,8.9,191,    大神 ,12,1777.99万,2986,182,15,0
大周皇族,皇甫奇,完本,玄幻,259.82,120.14,164.59,9,2593,    Lv.5 ,5,1515.11万,2274,154,8,0
白银霸主,醉虎,连载,玄幻,276.5,2291.52,163.7,8.9,393,    大神 ,2,941.42万,2494,39,1,0
九星天辰诀,发飙的蜗牛,连载,玄幻,575.88,841.51,163.6,9.1,1283,    Lv.5 ,9,1434.39万,2338,154,38,0
天火大道,唐家三少,连载,都市,300.78,224.06,162.95,9.2,372,    白金 ,19,3995.09万,5039,92,48,0
随波逐流之神龙传奇,随波逐流,连载,武侠,400.49,808.23,162.72,8.8,65,    Lv.4 ,2,370.51万,487,37,0,0
大魏宫廷,贱宗首席弟子,完本,历史,265.71,2108.68,162.4,9.1,705,    Lv.5 ,7,1730.64万,2592,93,73,0
冠军之心,林海听涛,完本,体育,296.28,1403.34,161.96,9.2,298,    白金 ,9,3107.13万,4225,92,3,0
炒钱高手在花都,月关,完本,都市,259.74,2470.24,160.93,9,287,    Lv.5 ,7,2034.71万,3062,91,0,0
横刀立马,任怨,完本,玄幻,558.07,1177.07,160.74,8.7,44,    Lv.5 ,5,1123.09万,3328,38,0,0
召唤千军,高森,完本,玄幻,315.95,726.78,159.17,8.9,83,    Lv.5 ,8,1118.16万,2671,121,1,0
贼警,虾写,完本,都市,513.07,381.92,157.17,9,159,    Lv.5 ,13,1764.62万,3571,90,7,0
异世邪君,风凌天下,完本,玄幻,371.21,1650.27,156.36,8.9,5172,    白金 ,5,2340.58万,3242,310,54,0
网游之近战法师,蝴蝶蓝,完本,游戏,588.21,375.85,155.27,9.2,1934,    白金 ,6,1461.02万,3544,92,20,0
我的姐姐是大明星,卖报小郎君,完本,都市,149.11,441.1,154.96,8.6,1024,    Lv.5 ,2,359.69万,733,41,46,2
超级教师,张君宝,完本,都市,142.25,1616.58,154.35,8.8,73,    Lv.5 ,4,483.82万,1172,215,0,0
狂仙,陈风笑,完本,仙侠,364.75,110.11,153.89,9.3,539,    大神 ,3,1044.04万,3642,91,16,0
百炼成仙,幻雨,完本,仙侠,209.81,1433.61,153.61,8.9,1562,    大神 ,3,1422.10万,3533,91,15,0
超级神基因,十二翼黑暗炽天使,连载,玄幻,489.7,750.87,153.15,8.7,658,    Lv.5 ,5,1239.34万,1727,93,317,1
寒门崛起,朱郎才尽,连载,历史,141.5,773.92,150.2,8.8,597,    Lv.5 ,1,234.97万,893,91,146,1
莲花宝鉴,油炸包子,完本,玄幻,410.49,3116.97,148.58,8.8,113,    Lv.3 ,6,820.14万,1340,92,1,0
逆流纯真年代,人间武库,完本,都市,384.16,160.59,146.64,8.8,982,    Lv.5 ,2,276.40万,547,41,48,0
重生日本当厨神,千回转,完本,都市,315.53,1603.87,146.5,8.9,596,    Lv.5 ,2,267.64万,571,91,6,0
召唤万岁,霞飞双颊,完本,玄幻,308.69,1058.89,145.48,9,2531,    大神 ,4,985.97万,2976,154,17,0
天心怒,小小英雄,连载,仙侠,978.6,1603.6,145.45,9,19,    Lv.1 ,1,489.70万,848,38,3,0
春秋人生之重合,独孤天寒,连载,游戏,112.81,1224.53,144.82,8.5,39,    Lv.1 ,2,1091.78万,2036,38,2,0
恶魔岛,流浪的蛤蟆,完本,玄幻,498.63,380.41,144.36,8.9,38,    大神 ,11,1244.37万,2637,151,0,0
圣墟,辰东,连载,玄幻,193.65,280.08,143.41,8.7,6524,    白金 ,6,2443.54万,4245,355,2114,8
网游之混迹在美女工作室,射虎,连载,游戏,244.36,198.42,141.38,8.7,94,    Lv.1 ,3,188.53万,488,91,0,0
一念永恒,耳根,连载,仙侠,525.91,2021.22,141.18,9.1,2590,    白金 ,7,2221.20万,3291,337,159,0
斗战狂潮,骷髅精灵,连载,仙侠,927.93,706.02,141.15,8.7,1543,    白金 ,11,2264.70万,4522,248,13,0
飞升之后,皇甫奇,完本,玄幻,158.52,1761.48,140.87,9.2,225,    Lv.5 ,5,1515.11万,2274,92,3,0
从零开始,雷云风暴,完本,游戏,634.04,775.05,140.62,9,981,    Lv.4 ,2,2244.86万,3498,258,13,0
凡人修仙传,忘语,完本,仙侠,1238.25,785.11,140.12,9.1,10560,    白金 ,5,1841.03万,3667,326,289,0
超凡传,萧潜,连载,玄幻,386.45,184.47,139.65,9.1,211,    Lv.5 ,4,486.65万,840,123,8,0
无疆,小刀锋利,连载,仙侠,298.01,821.15,139.29,9.4,5233,    白金 ,9,2395.91万,3336,40,106,0
万界天尊,血红,完本,玄幻,115.7,938.06,139.21,8.7,384,    白金 ,12,3143.95万,4042,93,13,0
龙皇武神,步征,连载,都市,258.75,135.81,138.71,9.2,1924,    大神 ,1,566.48万,928,324,29,0
邪龙道,血红,完本,仙侠,175.14,1682.67,138.29,9,1433,    白金 ,12,3143.95万,4042,186,0,0
雪鹰领主,我吃西红柿,连载,玄幻,173.07,139.74,138.17,9.1,1452,    白金 ,9,2603.36万,4200,326,176,0
不朽凡人,鹅是老五,连载,仙侠,175.49,1355.7,137.2,8.8,846,    白金 ,6,1948.10万,2715,343,77,0
大主宰,天蚕土豆,完本,玄幻,385.21,1189.8,136.83,8.8,6555,    Lv.5 ,3,1418.46万,2962,248,538,0
斗罗大陆III龙王传说,唐家三少,连载,玄幻,19.59,48.72,136.55,9,2193,    白金 ,19,3995.09万,5039,124,891,0
修真聊天群,圣骑士的传说,连载,都市,704.18,2095.57,135.98,9.3,3384,    大神 ,5,1277.24万,2387,355,2247,23
玄界之门,忘语,连载,仙侠,298.91,163.11,135.96,9.1,1131,    白金 ,5,1841.03万,3667,326,43,0
吞噬星空,我吃西红柿,完本,科幻,941.78,793.63,134.28,9,12351,    白金 ,9,2603.36万,4200,325,152,0
天影,萧鼎,完本,仙侠,242.82,125.28,134.09,8.8,513,    Lv.5 ,4,373.40万,662,217,17,0
飞剑问道,我吃西红柿,连载,仙侠,532.25,283.95,134.05,9.1,4999,    白金 ,9,2603.36万,4200,212,1674,9
龙骑战机,华表,完本,科幻,381.17,285.55,133.53,9.2,1854,    大神 ,5,1261.22万,3048,184,10,0
交锋,可大可小,完本,军事,445.21,292.47,133.52,9,316,    Lv.5 ,6,1418.61万,3637,91,73,0
特拉福买家俱乐部,夕山白石,连载,都市,517.94,196.02,133.34,9.2,613,    Lv.5 ,1,517.74万,986,93,130,2
五行天,方想,连载,玄幻,75.27,133.56,133.07,9.1,697,    Lv.5 ,3,636.55万,1993,325,6,0
贼胆,发飙的蜗牛,完本,游戏,634.33,545.76,131.39,8.8,240,    Lv.5 ,9,1434.39万,2338,92,0,0
弹痕,纷舞妖姬,完本,军事,19.22,262.95,131.26,9,89,    Lv.5 ,5,464.36万,1312,134,6,0
机破星河,当年离歌,完本,科幻,126.94,1296.84,130.13,9,288,    Lv.5 ,2,431.50万,943,67,88,1
盘龙,我吃西红柿,完本,奇幻,72.04,319.17,129.86,9.1,1078,    白金 ,9,2603.36万,4200,320,96,0
