书名,作者,状态,种类,总字数,总点击,总推荐,书评分,评价人数,作者等级,作品数,总创作字数,总创作天数,作品荣誉,本月票数,打赏数
恶灵国度,弹指一笑间,完本,悬疑灵异,95.48,44.91,41.56,9.1,203,    Lv.5 ,4,911.29万,1717,64,18,0
斗战狂潮,骷髅精灵,连载,仙侠,255.04,644.75,41.46,8.7,1543,    白金 ,11,2264.70万,4522,248,13,0
圣墟,辰东,连载,玄幻,98.54,333.9,41.46,8.7,6524,    白金 ,6,2443.54万,4245,355,2114,8
一念永恒,耳根,连载,仙侠,338.42,114.04,41.43,9.1,2590,    白金 ,7,2221.20万,3291,337,159,0
凡人修仙传,忘语,完本,仙侠,675.11,299.52,41.41,9.1,10560,    白金 ,5,1841.03万,3667,326,289,0
黑风老妖,和气生财,完本,仙侠,189.07,667.91,41.4,7.2,2,    Lv.1 ,2,248.99万,344,90,0,0
无疆,小刀锋利,连载,仙侠,266.18,647.3,41.33,9.4,5233,    白金 ,9,2395.91万,3336,40,106,0
从零开始,雷云风暴,完本,游戏,180,196.28,41.33,9,981,    Lv.4 ,2,2244.86万,3498,258,51,0
无良皇帝,傲无常,完本,历史,451.85,405.65,41.27,0,0,    白金 ,11,1749.31万,3528,38,0,0
超凡传,萧潜,连载,玄幻,248.72,91.05,41.07,9.1,211,    Lv.5 ,4,486.65万,840,123,8,0
冥主,中原五百,完本,仙侠,149.01,556.41,40.88,8.9,206,    Lv.5 ,2,385.32万,1268,39,0,0
龙皇武神,步征,连载,都市,282.63,56.28,40.83,9.2,1924,    大神 ,1,566.48万,928,324,29,0
万界天尊,血红,完本,玄幻,195.38,46.14,40.78,8.7,384,    白金 ,12,3143.95万,4042,93,13,0
未来游乐场,奥比椰,完本,科幻,323.6,150.38,40.52,8.6,128,    Lv.5 ,8,1028.04万,2702,92,0,0
不朽凡人,鹅是老五,连载,仙侠,128.31,1017.57,40.35,8.8,846,    白金 ,6,1948.10万,2715,343,77,0
雪鹰领主,我吃西红柿,连载,玄幻,500.4,747.47,40.34,9.1,1452,    白金 ,9,2603.36万,4200,326,176,0
脑洞大爆炸,魔性沧月,完本,都市,215.27,668.56,40.34,8.7,391,    Lv.5 ,5,689.83万,1335,38,3,0
斗罗大陆III龙王传说,唐家三少,连载,玄幻,126.6,32.35,40.27,9,2193,    白金 ,19,3995.09万,5039,124,1166,0
修真聊天群,圣骑士的传说,连载,都市,457.17,600.87,40.24,9.3,3384,    大神 ,5,1277.24万,2387,355,2247,23
天影,萧鼎,完本,仙侠,95.65,70.8,40.24,8.8,513,    Lv.5 ,4,373.40万,662,217,17,0
飞剑问道,我吃西红柿,连载,仙侠,232.86,112.16,40.22,9.1,4999,    白金 ,9,2603.36万,4200,212,1674,9
玄界之门,忘语,连载,仙侠,219.62,38.84,40.19,9.1,1131,    白金 ,5,1841.03万,3667,326,43,0
天道图书馆,横扫天涯,连载,玄幻,491.5,612.61,40.18,8.6,2047,    大神 ,6,1418.90万,2567,355,2091,6
魔天记,忘语,连载,仙侠,22.48,92.94,40.08,9.2,3098,    白金 ,5,1841.03万,3667,310,36,0
大主宰,天蚕土豆,完本,玄幻,243.21,135.43,40.05,8.8,6555,    Lv.5 ,3,1418.46万,2962,248,538,0
汉乡,孑与2,连载,历史,134.83,102.57,40.05,8.4,10918,    白金 ,4,1403.85万,2275,344,1797,11
仙逆,耳根,完本,仙侠,231.15,294.46,39.88,9,7683,    白金 ,7,2221.20万,3291,326,131,0
五行天,方想,连载,玄幻,214.95,610.42,39.87,9.1,697,    Lv.5 ,3,636.55万,1993,325,6,0
我是仙凡,百里玺,连载,仙侠,465.05,70.58,39.8,8.6,367,    大神 ,6,1447.44万,2959,40,89,0
邪风曲,血红,完本,仙侠,507.06,182.02,39.73,9.2,259,    白金 ,12,3143.95万,4042,320,0,0
重生之神级学霸,志鸟村,完本,都市,285.07,135.7,39.56,9.2,681,    大神 ,6,1361.98万,3113,133,18,0
流氓高手II,无罪,完本,游戏,155.52,210.99,39.55,9.2,67,    Lv.3 ,4,709.38万,1990,317,1,0
我们是冠军,林海听涛,完本,体育,81.51,213.63,39.53,9.1,94,    白金 ,9,3107.13万,4225,105,0,0
巫神纪,血红,完本,玄幻,256.82,173.92,39.53,9.3,477,    白金 ,12,3143.95万,4042,310,15,0
惊悚乐园,三天两觉,完本,游戏,227.4,166.47,39.52,9.3,3755,    大神 ,4,793.93万,2014,93,565,2
盘龙,我吃西红柿,完本,奇幻,109.62,391.46,39.5,9.1,1078,    白金 ,9,2603.36万,4200,320,96,0
步步生莲,月关,完本,历史,129.36,531.34,39.46,9,5043,    Lv.5 ,7,2034.71万,3062,326,0,0
星战风暴,骷髅精灵,连载,科幻,178.06,350.92,39.43,9.1,2585,    白金 ,11,2264.70万,4522,326,8,0
九鼎记,我吃西红柿,完本,武侠,384,64.7,39.25,8.8,2958,    白金 ,9,2603.36万,4200,319,37,0
俗人回档,庚不让,完本,都市,223.8,160.84,39.23,9,1048,    大神 ,1,427.29万,1151,71,111,0
未来天王,陈词懒调,连载,科幻,462.09,84.02,39.22,9,1178,    大神 ,4,717.37万,1564,92,171,5
飞天,跃千愁,完本,仙侠,371.39,197.97,39.13,9.2,1210,    大神 ,3,1530.00万,3185,124,141,0
夜天子,月关,完本,历史,227.46,460.11,39.02,9.3,1147,    Lv.5 ,7,2034.71万,3062,248,15,0
间客,猫腻,完本,玄幻,456.34,77.95,38.87,9.1,4150,    白金 ,6,1688.03万,3737,326,56,0
民国之文豪崛起,王梓钧,完本,历史,80.77,195.31,38.79,8.8,1096,    Lv.5 ,3,352.54万,1478,92,32,0
一世之尊,爱潜水的乌贼,完本,玄幻,230.51,495.5,38.72,9.3,1354,    白金 ,6,1523.31万,2350,326,51,1
斗罗大陆II绝世唐门,唐家三少,连载,玄幻,105.3,24.08,38.71,9.2,7388,    白金 ,19,3995.09万,5039,320,416,0
卡徒,方想,完本,科幻,161.32,103.11,38.63,9,360,    Lv.5 ,3,636.55万,1993,211,11,1
冒牌大英雄,七十二编,完本,科幻,251.51,137.72,38.47,9.1,3204,    白金 ,3,830.67万,1440,325,20,1
银狐,孑与2,连载,历史,169.3,954.8,38.42,9.2,766,    白金 ,4,1403.85万,2275,186,100,0
傲世九重天,风凌天下,连载,玄幻,154.12,170.44,38.38,9.3,8661,    白金 ,5,2340.58万,3242,326,90,0
伏天氏,净无痕,连载,玄幻,119.45,70.02,38.36,9.1,1237,    白金 ,2,925.30万,1511,179,18552,7
黑铁之堡,醉虎,连载,玄幻,154.23,1016.06,38.33,9.2,932,    大神 ,2,941.42万,2494,92,26,0
蛊真人,蛊真人,连载,仙侠,248.55,47.09,38.32,9.2,1898,    Lv.5 ,3,956.50万,2779,93,377,5
择天记,猫腻,连载,玄幻,235.61,28.4,38.29,8.8,1180,    白金 ,6,1688.03万,3737,103,69,1
江山美色,墨武,完本,历史,164.12,557.57,38.26,9,274,    Lv.4 ,4,976.22万,1930,318,5,0
人道至尊,宅猪,完本,玄幻,241.45,89.64,38.24,9.4,666,    白金 ,7,2072.61万,3018,124,74,0
武动乾坤,天蚕土豆,完本,玄幻,233.74,784.33,38.21,9,6190,    Lv.5 ,3,1418.46万,2962,326,972,0
造化之门,鹅是老五,完本,仙侠,118.97,297.68,38.09,9.1,996,    白金 ,6,1948.10万,2715,326,50,0
网游之天地,隐为者,完本,游戏,256.4,188.52,38.09,8.7,43,    大神 ,17,2538.77万,4973,40,10,0
神门,薪意,完本,玄幻,58.84,261.78,38.07,9.1,1254,    Lv.5 ,4,633.18万,1371,70,8,0
酒神,唐家三少,完本,奇幻,326.66,797.05,38.02,8.9,2952,    白金 ,19,3995.09万,5039,310,121,0
放开那个女巫,二目,连载,奇幻,344.97,136.63,37.93,9.2,1864,    大神 ,1,319.29万,1062,155,382,4
全职高手,蝴蝶蓝,完本,游戏,571.27,272.9,37.9,9.3,9795,    白金 ,6,1461.02万,3544,217,523,19
张三丰异界游,写字板,完本,玄幻,72.58,449.65,37.89,9,89,    白金 ,7,2189.42万,3829,288,20,0
苍穹之上,石三,连载,仙侠,547.66,108.23,37.87,9.1,477,    白金 ,18,2678.53万,4307,39,47,1
寸芒,我吃西红柿,完本,仙侠,54.38,359.03,37.83,9.1,394,    白金 ,9,2603.36万,4200,259,11,0
琴帝,唐家三少,完本,奇幻,317.99,196.47,37.78,9.1,326,    白金 ,19,3995.09万,5039,318,56,0
美食供应商,会做菜的猫,连载,都市,141.36,104.11,37.78,8.8,1486,    大神 ,1,328.96万,908,248,849,5
大王饶命,会说话的肘子,连载,都市,306.23,115.57,37.77,8.9,3668,    大神 ,3,591.16万,982,344,435,2
我的1979,争斤论两花花帽,连载,都市,498.01,44.73,37.75,8.6,1237,    Lv.5 ,1,385.73万,968,198,812,2
我是至尊,风凌天下,连载,玄幻,358.52,79.39,37.71,8.7,1119,    白金 ,5,2340.58万,3242,80,602,5
回到明朝当王爷,月关,完本,历史,641.72,139.18,37.68,9.1,905,    Lv.5 ,7,2034.71万,3062,320,25,0
道君,跃千愁,连载,仙侠,80.54,213.58,37.67,8.9,1517,    大神 ,3,1530.00万,3185,192,2268,16
我欲封天,耳根,连载,仙侠,96.23,153.06,37.61,9.2,4981,    白金 ,7,2221.20万,3291,326,36,0
邪神传说,云天空,完本,玄幻,329.81,855.48,37.54,8.9,37,    Lv.3 ,3,517.84万,1260,255,0,0
将夜,猫腻,完本,玄幻,150.64,351.82,37.52,9.3,8468,    白金 ,6,1688.03万,3737,326,175,1
最后一个使徒,卷土,连载,玄幻,321.65,79.23,37.5,8.5,368,    Lv.5 ,4,1570.66万,2719,216,1,0
小兵传奇,玄雨,完本,科幻,136.4,374.56,37.41,9,198,    Lv.5 ,7,1273.89万,1938,40,6,0
白袍总管,萧舒,完本,武侠,149.79,161.35,37.41,9.2,685,    大神 ,4,1808.22万,3959,103,63,0
凡人修仙之仙界篇,忘语,连载,仙侠,194.71,612.26,37.4,9.1,3929,    白金 ,5,1841.03万,3667,212,12018,41
邪影本纪,邪影,完本,游戏,401.68,105.25,37.37,8.9,435,    Lv.4 ,6,1798.30万,3502,69,9,0
神魔,血红,完本,玄幻,133.85,428.27,36.99,8.5,10,    白金 ,12,3143.95万,4042,103,0,0
史上最强师兄,八月飞鹰,完本,玄幻,105.74,149.84,36.95,9.1,591,    Lv.5 ,4,969.70万,1666,221,18,0
执魔,我是墨水,连载,仙侠,223.04,143.65,36.91,9.2,1365,    Lv.5 ,2,681.06万,992,40,449,3
师士传说,方想,完本,科幻,103.48,577.72,36.87,9.1,190,    Lv.5 ,3,636.55万,1993,314,4,0
冠军教父,林海听涛,完本,体育,348.83,491.53,36.87,9.2,155,    白金 ,9,3107.13万,4225,92,3,0
偷香,墨武,连载,历史,241.93,587.23,36.87,9.2,297,    Lv.4 ,4,976.22万,1930,154,4,0
蜀山,流浪的蛤蟆,完本,游戏,97.85,529.94,36.86,9.2,89,    大神 ,11,1244.37万,2637,106,2,0
楚氏春秋,宁致远,连载,历史,944.79,551.32,36.84,8.7,61,    Lv.1 ,1,158.94万,279,135,1,0
阳神,梦入神机,完本,仙侠,149.96,37.9,36.84,8.8,3502,    Lv.5 ,3,592.45万,2022,325,16,0
奶爸的文艺人生,寒门,完本,都市,64.6,51.09,36.66,8.7,912,    Lv.5 ,4,855.53万,1382,113,31,0
六迹之梦域空城,烟雨江南,完本,科幻,308.25,115.35,36.61,8.6,153,    Lv.4 ,4,409.89万,698,38,5,0
校园篮球风云,大秦炳炳,连载,体育,160.94,662.68,36.57,9.4,48,    Lv.2 ,1,227.78万,281,74,2,0
无限恐怖,zhttty,完本,科幻,109.08,384.74,36.56,9.2,573,    白金 ,6,1173.30万,1863,244,86,0
唐砖,孑与2,完本,历史,228.82,614.15,36.54,9.2,3731,    白金 ,4,1403.85万,2275,325,169,1
盗天仙途,荆柯守,连载,仙侠,118,1067.77,36.48,8.7,540,    大神 ,9,1874.79万,3436,90,15,2
陈二狗的妖孽人生,烽火戏诸侯,完本,都市,193.02,75.34,36.44,8.7,657,    Lv.5 ,2,117.41万,1194,153,71,0
顾道长生,睡觉会变白,完本,都市,396.83,470.62,36.38,8.8,884,    Lv.5 ,2,485.84万,1392,93,32,0
异世之召唤文臣猛将,酒池醉,完本,玄幻,43.27,301.57,36.08,8.9,210,    Lv.5 ,3,425.88万,831,92,16,0
暂命名,兰帝魅晨,完本,仙侠,55.85,29.83,36.04,8.4,3,    Lv.4 ,10,1502.56万,2728,37,0,0
人间冰器,阚智,连载,科幻,314.62,47.79,36.02,8.8,166,    Lv.2 ,3,459.12万,937,68,5,0
梅掌柜,沫沫洁洁,完本,短篇,264.89,102.22,35.98,7.4,1,    Lv.3 ,6,90.61万,561,36,0,0
最强的系统,新丰,完本,玄幻,501.21,304.38,35.86,8.7,197,    Lv.5 ,5,958.32万,1399,92,45,0
机动风暴,骷髅精灵,连载,科幻,105.73,688.48,35.79,8.9,233,    白金 ,11,2264.70万,4522,245,6,0
一剑飞仙,流浪的蛤蟆,连载,仙侠,293.3,196.76,35.77,9,218,    大神 ,11,1244.37万,2637,154,2,0
洪荒之冥河问道,神仙爱凡尘,完本,仙侠,392.74,98.29,35.76,8.8,148,    Lv.5 ,4,301.43万,644,90,18,0
召唤圣剑,西贝猫,完本,游戏,335.24,366.89,35.76,9.1,849,    Lv.5 ,8,1961.80万,3884,92,5,0
